"","pID","eID","oID","internalID","Effect description","origDirection","repDirection","origN","repN","testReported","What statistical test was reported?","Statistical test applied to original data","Original test statistic type","Original test statistic value","origdf1","origdf2","origPval","Replication statistical test","Replication test statistic type","Replication test statistic value","repdf1","repdf2","repPval","Was original data representative?","origRawDiff","repRawDiff","Replication raw difference type (mean or median)","Replication raw difference lower CI","Replication raw difference upper CI","EStype","origES","origESLo","origESHi","repES","repESLo","repESHi","Meta-analysis effect size","Meta-analysis lower CI","Meta-analysis upper CI","Meta-analysis p value","Notes.x","Original paper figure","Was experiment originally identified by RP:CB team","Did experiment continue after sharing with labs (before submitting protocol to eLife)","Did the experiment protocol get submitted to eLife","Did the experiment get accepted and published in eLife","Clarifications asked of original authors","responseQuality","Data shared by original authors","Code shared by original authors","materialsRequested","Key materials offered to be shared","Key materials shared","expType","Number of lab(s) contracted for the experiment","labsContracted","Registered Report protocol","Experiment description","Replication experiment attempted","Replication experiment completed","If experiment incomplete, why?","Changes needed during experimentation?","changesNeededProse","Changes able to be implemented during experimentation?","If modifications unable to be fully implemented, why?","Replication study figure","Were materials shippped between replicating labs?","If a material was shipped between replicating labs, what was it?","What types of experimental techniques were utilized?","Was the original experiment blinded?","Was the replication experiment blinded?","Was the original experiment randomized?","Was the replication experiment randomized?","Was the original experiment sample size determined a priori?","Was the replication experiment sample size determined a priori?","Was a statistical test reported in the original paper?.y","What statistical test(s) was reported?","Was variation of biological repeats reported in the original experiment?","Notes.y","Original paper title","Year","Original paper journal","Number of original authors","Anticipated budget when replication design originally identified by RP:CB team","Anticipated budget when Registered Report manuscript ready for submission to eLife","Anticipated budget when Registered Report accepted and published in eLife","Actual budget at completion of replication attempt","Registered Report submission date","Registered Report acceptance date","Link to Registered Report","Replication study fully completed","If Replication study incomplete, why?","Replication study submission date","Replication study acceptance date","Link to Replication study","Did original authors respond to any emails?","Did the original paper have a potential conflict of issue statement?","Did the replication study have a potential conflict of issue statement?","Number of lab(s) contracted for the entire paper","Type of contracted lab(s) for the entire paper","Notes"
"11",1,3,5,1,"PTENP1 mRNA expression between siLuc and siPTENP1","Positive","Positive","6.0",10,"Yes","Student's t test","Student's t test","t","6.984537","NA","4.0","0.00221037","Student's t test","t","3.550234","NA","8.0","0.007506881","No","NA","NA","NA","NA","NA","Cohen's d","5.702851","1.585428","9.796224","2.245365","0.5624174","3.851844","3.725553","0.3724834","7.0786224","0.02942904","methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"12",1,3,6,1,"PTENP1 mRNA expression between siLuc and siPTEN+siPTENP1","Positive","Positive","6.0",10,"Yes","Student's t test","Student's t test","t","4.014579","NA","4.0","0.01593591","Student's t test","t","2.556429","NA","8.0","0.03383443","No","NA","NA","NA","NA","NA","Cohen's d","3.27789","0.5188403","5.931193","1.616828","0.1176913","3.045573","2.177328","0.6379571","3.7166979","0.005567427","methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta","2G","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","2.0","Core1,CRO1","3.0","PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","2.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring","5.0","NA","2.0","Yes","RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"13",1,4,1,1,"PTEN protein expression between siLuc and siPTEN","Positive","Positive","unknown",10,"No","NA","NA","NA","NA","NA","NA","NA","Mann-Whitney","z","2.611165","NA","NA","0.007936508","Yes","0.5","0.6496768","Median","0.2226116","1.3143976","Cohen's d","NA","NA","NA","2.190466","0.5248194","3.779824","NA","NA","NA","NA","effect size recalculated for meta-analysis","2H","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","4.0","PTEN protein expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","1.0","Western blot conditions needed to be optimized for detecting PTEN","5.0","NA","3.0","No","NA","Western blot, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"14",1,4,2,1,"PTEN protein expression between siLuc and siPTENP1","Positive","Null-positive","unknown",10,"No","NA","NA","NA","NA","NA","NA","NA","Mann-Whitney","z","1.775592","NA","NA","0.0952381","Yes","0.4","0.3455878","Median","-0.08930177","1.01123865","Cohen's d","NA","NA","NA","1.261792","-0.1498648","2.611393","NA","NA","NA","NA","effect size recalculated for meta-analysis","2H","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","4.0","PTEN protein expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","1.0","Western blot conditions needed to be optimized for detecting PTEN","5.0","NA","3.0","No","NA","Western blot, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"15",1,4,3,1,"PTEN protein expression between siLuc and siPTEN+siPTENP1","Positive","Positive","unknown",10,"No","NA","NA","NA","NA","NA","NA","NA","Mann-Whitney","z","2.611165","NA","NA","0.007936508","Yes","0.9","0.7095809","Median","0.5017397","1.3743017","Cohen's d","NA","NA","NA","3.367637","1.292413","5.371075","NA","NA","NA","NA","effect size recalculated for meta-analysis","2H","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","4.0","PTEN protein expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","1.0","Western blot conditions needed to be optimized for detecting PTEN","5.0","NA","3.0","No","NA","Western blot, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"16",1,4,4,1,"PTEN protein expression between siPTEN+siPTENP1 and siPTEN","Positive","Null-positive","unknown",10,"No","NA","NA","NA","NA","NA","NA","NA","Mann-Whitney","z","1.357806","NA","NA","0.2222222","Yes","0.4","0.1129835","Median","-0.1955307","0.4869693","Cohen's d","NA","NA","NA","0.8754056","-0.4579955","2.160781","NA","NA","NA","NA","effect size recalculated for meta-analysis","2H","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","4.0","PTEN protein expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","1.0","Western blot conditions needed to be optimized for detecting PTEN","5.0","NA","3.0","No","NA","Western blot, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"17",1,4,5,1,"PTEN protein expression between siPTEN+siPTENP1 and siPTENP1","Positive","Positive","unknown",10,"No","NA","NA","NA","NA","NA","NA","NA","Mann-Whitney","z","2.611165","NA","NA","0.007936508","Yes","0.5","0.3779703","Median","0.3209874","0.7988827","Cohen's d","NA","NA","NA","3.099864","1.123929","5.001893","NA","NA","NA","NA","effect size recalculated for meta-analysis","2H","Yes","No","No","Yes",2,2,0,0,"NA","NA","NA","Cell-based","1.0","CRO1","4.0","PTEN protein expression after PTEN and/or PTENP1 knockdown","Yes","Yes","NA","1.0","Western blot conditions needed to be optimized for detecting PTEN","5.0","NA","3.0","No","NA","Western blot, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"18",1,5,1,1,"PTENP1 mRNA expression between pCMV and PTEN 3'UTR","Positive","Null-negative","6.0",6,"Yes","Student's t test","Student's t test","t","5.603317864","NA","4.0","0.004981447","Student's t test","t","-0.4572643","NA","4.0","0.6712144","No","NA","NA","NA","NA","NA","Cohen's d","4.57509","1.110656","7.977567","-0.3733547","-1.971197","1.268137","1.706955","-3.080579","6.494489","0.4846716","methods state unpaired t-test, assumed to be Student's t-test","4A(left)","Yes","Yes","Yes","Yes",2,2,0,0,"Plasmids","Plasmids","No","Cell-based","3.0","Core1,CRO2,CRO3","5.0","PTENP1 mRNA expression after PTEN 3'UTR expression","Yes","Yes","NA","3.0","Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring; Plasmids were going to be shared, but ended up not, so pladmis were remade during replication","5.0","NA","4.0","Yes","Plasmid,RNA","PCR, Cell culture, Transfection/Transduction","No","No","No","No","No","Yes","Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"19",1,6,1,1,"DU145 cell proliferation between pCMV and PTEN 3'UTR","Positive","Positive","6.0",6,"No","NA","Student's t test","t","19.85322","NA","4.0","3.797672E-5","Student's t test","t","9.248205","NA","4.0","7.59987E-4","No","NA","NA","NA","NA","NA","Cohen's d","16.21008","5.49337","27.15589","7.551127","2.318417","12.81552","9.652992","2.376767","16.929217","0.009317403",NA,"4A(right)","Yes","Yes","Yes","Yes",2,2,0,0,"Plasmids","Plasmids","No","Cell-based","2.0","CRO2,CRO3","6.0","DU145 cell proliferation after PTEN 3'UTR expression","Yes","Yes","NA","1.0","Plasmids were going to be shared, but ended up not, so pladmis were remade during replication","5.0","NA","5.0","Yes","Plasmid","Cell culture, Transfection/Transduction, Spectrometry reading","No","No","No","No","No","Yes","No","NA","Yes",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"20",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A(left)","Yes","Yes","Yes","No",2,2,0,0,"Plasmids","Plasmids","NA","Cell-based","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,"Yes","Student's t test","Yes","methods state unpaired t-test, assumed to be Student's t-test","A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
"21",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A(right)","Yes","Yes","Yes","No",2,2,0,0,"Plasmids","Plasmids","NA","Cell-based","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,"No","NA","No",NA,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.",2010,"Nature",6,25000,"15150.0","27845.0","70193.21","42115.0","42224.0","https://elifesciences.org/articles/08245","Partial",NA,"43689.0","43881.0","https://elifesciences.org/articles/51019","Yes","Yes","Yes","4.0","Core1,CRO1,CRO2,CRO3",NA
