X.2,X.1,X,pID,eID,oID,internalID,Effect.description,origDirection,Observed.difference.in.replication.,origN,repN,testReported,What.statistical.test.was.reported.,Statistical.test.applied.to.original.data,Original.test.statistic.type,Original.test.statistic.value,Original.df1,Original.df2,Original.p.value,Replication.statistical.test,Replication.test.statistic.type,Replication.test.statistic.value,Replication.df1,Replication.df2,Replication.p.value,Was.original.data.representative.,origRawDiff,Replication.raw.difference..if.original.reported.representative.data.,Replication.raw.difference.type..mean.or.median.,Replication.raw.diference.standard.error,Replication.raw.difference.lower.CI,Replication.raw.difference.upper.CI,Effect.size.type,Original.effect.size,Original.standard.error,Original.lower.CI,Original.upper.CI,Replication.effect.size,Replication.standard.error,Replication.lower.CI,Replication.upper.CI,Meta.analysis.effect.size,Meta.analysis.lower.CI,Meta.analysis.upper.CI,Meta.analysis.p.value,repDirection,Statistical.test.applied.to.original.data..SMD.,Original.test.statistic.type..SMD.,Original.test.statistic.value..SMD.,origdf1,origdf2,origPval,Replication.statistical.test..SMD.,Replication.test.statistic.type..SMD.,Replication.test.statistic.value..SMD.,repdf1,repdf2,repPval,repRawDiff,Replication.raw.difference.type..mean.or.median...SMD.,Replication.raw.diference.standard.error..SMD.,Replication.raw.difference.lower.CI..SMD.,Replication.raw.difference.upper.CI..SMD.,EStype,origES,origSE,origESLo,origESHi,repES,repSE,repESLo,repESHi,Meta.analysis.effect.size..SMD.,Meta.analysis.lower.CI..SMD.,Meta.analysis.upper.CI..SMD.,Meta.analysis.p.value..SMD.,Notes.x,Original.paper.figure,Was.experiment.originally.identified.by.RP.CB.team,Did.experiment.continue.after.sharing.with.labs..before.submitting.protocol.to.eLife.,Did.the.experiment.protocol.get.submitted.to.eLife,Did.the.experiment.protocol.get.accepted.and.published.in.eLife,infoNeeded,infoQuality,Data.shared.by.original.authors,Code.shared.by.original.authors,Key.materials.asked.to.be.shared,materialsSharedProse,Key.materials.shared,expType,Number.of.lab.s..contracted.for.the.experiment,labsContracted,Registered.Report.protocol,Experiment.description,Replication.experiment.attempted,Replication.experiment.completed,If.experiment.incomplete..why.,changesNeededRaw,If.modifications.were.needed.for.experiment.to.proceed..what.were.they.,changesSuccess,If.modifications.unable.to.be.fully.implemented..why.,Replication.study.figure,Were.materials.shippped.between.replicating.labs.,If.a.material.was.shipped.between.replicating.labs..what.was.it.,What.types.of.experimental.techniques.were.utilized.,Was.the.original.experiment.blinded.,Was.the.replication.experiment.blinded.,Was.the.original.experiment.randomized.,Was.the.replication.experiment.randomized.,Was.the.original.experiment.sample.size.determined.a.priori.,Was.the.replication.experiment.sample.size.determined.a.priori.,Was.a.statistical.test.reported.in.the.original.paper..y,What.statistical.test.s..was.reported.,Was.variation.of.biological.repeats.reported.in.the.original.experiment.,Notes.y,Original.paper.title,Year,Original.paper.journal,Number.of.original.authors,OSF.project.link,Draft.protocol.shared.with.original.authors.date,Budget.per.paper.at.project.onset.when.originally.identified.by.RP.CB.team,Anticipated.budget.when.Registered.Report.manuscript.ready.for.submission.to.eLife,Anticipated.budget.when.Registered.Report.accepted.and.published.in.eLife,Actual.budget.at.completion.of.replication.attempt,Registered.Report.submission.date,Registered.Report.acceptance.date,Link.to.Registered.Report,Experimental.work.start.date,Experimental.work.end.date,Replication.study.fully.completed,If.Replication.study.incomplete..why.,Replication.study.submission.date,Replication.study.acceptance.date,Link.to.Replication.study,Did.original.authors.respond.to.any.emails.,Did.the.original.paper.have.a.potential.conflict.of.issue.statement.,Did.the.replication.study.have.a.potential.conflict.of.issue.statement.,Number.of.lab.s..contracted.for.the.entire.paper,Contracted.lab.s..for.the.entire.paper,Notes,repSignif,origSignif,changes,changes_a..GTE.moderate.success,changes_b..LT.moderate.success,changes_c..No.changes.needed,materialsShared,materialsShared_a.No,materialsShared_b.Yes,materialsShared_c..Not.requested,hasCROLab,hasCoreLab,expAnimal,quantPair,peoID,nInternal,peID,origES2,ES2type,origESLo2,origESHi2,repES2,repESLo2,repESHi2,origSE2,repSE2,origVar2,repVar2,origES3,origESLo3,origESHi3,repES3,repESLo3,repESHi3,origSE3,repSE3,origVar3,repVar3,discrep,badCI,pw.PILo,pw.PIHi,pw.PIRepInside,pw.PILo.sens,pw.PIHi.sens,pw.PIRepInside.sens,pw.Porig,pw.PorigSens,pw.ratio,pw.ratioVar,pw.diff,pw.diffVar,pw.PsigAgree1,pw.PsigAgree1.sens,pw.FEest,pw.FEestVar,pw.FElo,pw.FEhi
49,49,49,7,1,1,1,"pERK levels in A375 cells treated with vehicle vs all three drug treatments (PD184352, sorafenib, and SB590885)",Positive,Positive,,12,No,"","","",,,,,Mann-Whitney,z,2.396565,,,0.009090909,Yes,97.85055,118.9198,Median,,29.36897,150.73487,Cliff's delta,,,,,0.9259259,0.07407407,0.6262562,0.9872088,,,,,Positive,"","",,,,,Student's t test,t,3.732887,,10,0.003891822,88.31128,Mean,23.65764,35.59878,141.02378,Cohen's d,,,,,2.488591,0.951272,0.7599172,4.144795,,,,,"",1A,Yes,Yes,Yes,Yes,2,5,0,0,"","","",Cell-based,1,CRO9,1.0,pERK activation of A375 and DO4 cells following treatment with RAF inhibitors,Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",No,"",Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF.,2010,Cell,11,https://osf.io/b1aw6/,2015-01-26,25000,33163.96,33163.96,34441.21,42279,42394,https://elifesciences.org/articles/11999,42619,43177,Partial,Incomplete western blot analysis; Inefficiency of IP and/or transfection,,,Partial,Yes,Yes,"",1,CRO9,A statement in the acknowledgment section was identified as a COI statement.,TRUE,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p7e1o1,1,p7e1,,Cohen's d,,,2.488591,0.7599172,4.144795,,0.863505101802759,,0.745641060839393,,,,2.488591,0.7599172,4.144795,,0.863505101802759,,0.745641060839393,,,,,,,,,,,,,,,,,,,,
50,50,50,7,1,2,1,pERK levels in D04 cells treated with vehicle vs PD184352 and sorafenib,Positive,Positive,,9,No,"","","",,,,,Mann-Whitney,z,2.363516,,,0.02380952,Yes,87.79468,86.13508,Median,,24.82747,124.86927,Cliff's delta,,,,,1,0.0496904,0.7476669,1,,,,,Positive,"","",,,,,Student's t test,t,4.991649,,7,0.001580078,84.6456,Mean,16.95744,44.54762,124.74357,Cohen's d,,,,,3.529629,1.336782,1.208686,5.766746,,,,,"",1A,Yes,Yes,Yes,Yes,2,5,0,0,"","","",Cell-based,1,CRO9,1.0,pERK activation of A375 and DO4 cells following treatment with RAF inhibitors,Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",No,"",Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF.,2010,Cell,11,https://osf.io/b1aw6/,2015-01-26,25000,33163.96,33163.96,34441.21,42279,42394,https://elifesciences.org/articles/11999,42619,43177,Partial,Incomplete western blot analysis; Inefficiency of IP and/or transfection,,,Partial,Yes,Yes,"",1,CRO9,A statement in the acknowledgment section was identified as a COI statement.,TRUE,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p7e1o2,1,p7e1,,Cohen's d,,,3.529629,1.208686,5.766746,,1.16279177473499,,1.35208471139136,,,,3.529629,1.208686,5.766746,,1.162791774735,,1.35208471139136,,,,,,,,,,,,,,,,,,,,
51,51,51,7,1,3,1,pERK levels in D04 cells treated with vehicle vs SB590885,Positive,Null-positive,,6,No,"","","",,,,,Mann-Whitney,z,1.963961,,,0.1,Yes,405.7034,0.7850712,Median,,-73.06611,43.42513,Cliff's delta,,,,,0.1111111,0.5879447,-0.7078907,0.8026747,,,,,Null-negative,"","",,,,,Student's t test,t,0.374621,,4,0.7269574,-9.618637,Mean,25.67565,-80.90566,61.66838,Cohen's d,,,,,-0.3058768,1.008733,-1.901168,1.325483,,,,,"",1A,Yes,Yes,Yes,Yes,2,5,0,0,"","","",Cell-based,1,CRO9,1.0,pERK activation of A375 and DO4 cells following treatment with RAF inhibitors,Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",No,"",Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF.,2010,Cell,11,https://osf.io/b1aw6/,2015-01-26,25000,33163.96,33163.96,34441.21,42279,42394,https://elifesciences.org/articles/11999,42619,43177,Partial,Incomplete western blot analysis; Inefficiency of IP and/or transfection,,,Partial,Yes,Yes,"",1,CRO9,A statement in the acknowledgment section was identified as a COI statement.,FALSE,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p7e1o3,1,p7e1,,Cohen's d,,,-0.3058768,-1.901168,1.325483,,0.823140380499696,,0.677560086009184,,,,-0.3058768,-1.901168,1.325483,,0.823140380499696,,0.677560086009184,,,,,,,,,,,,,,,,,,,,
59,59,59,8,1,1,1,IC50 values of PLX4720 A375 cells vs PLX4720 HCT116 and MeWo cells,Positive,Positive,,12,No,"","","",,,,,"","",,,,,Yes,1.60206,1.839029,Mean,,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,1.839029,Mean,,,,"",,,,,,,,,,,,,"",1A,Yes,Yes,Yes,Yes,2,4,0,0,"","","",Cell-based,1,CRO9,1.0,"Cellular dose response curves for RAF and MEK inhibitors in BRAF(V600E), mutant RAS, and wild-type RAF/RAS cell lines",Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",Yes,Varation across multiple cell lines reported,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p8e1o1,1,p8e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,60,8,1,2,1,IC50 values of GDC-0879 A375 cells vs GDC-0879 HCT116 and MeWo cells,Positive,Positive,,12,No,"","","",,,,,"","",,,,,Yes,1.823909,1.847683,Mean,,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,1.847683,Mean,,,,"",,,,,,,,,,,,,"",1A,Yes,Yes,Yes,Yes,2,4,0,0,"","","",Cell-based,1,CRO9,1.0,"Cellular dose response curves for RAF and MEK inhibitors in BRAF(V600E), mutant RAS, and wild-type RAF/RAS cell lines",Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",Yes,Varation across multiple cell lines reported,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p8e1o2,1,p8e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,62,8,1,4,1,IC50 values of PD0325901 HCT116 cells vs PLX4720 and GDC-0879 HCT116 cells,Positive,Positive,,12,No,"","","",,,,,"","",,,,,Yes,2.045757,2.158321,Mean,,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,2.158321,Mean,,,,"",,,,,,,,,,,,,"",1A,Yes,Yes,Yes,Yes,2,4,0,0,"","","",Cell-based,1,CRO9,1.0,"Cellular dose response curves for RAF and MEK inhibitors in BRAF(V600E), mutant RAS, and wild-type RAF/RAS cell lines",Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",Yes,Varation across multiple cell lines reported,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p8e1o4,1,p8e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,63,8,1,5,1,IC50 values of PD0325901 MeWo cells vs PLX4720 and GDC-0879 MeWo cells,Positive,Positive,,12,No,"","","",,,,,"","",,,,,Yes,2.408935,1.516184,Mean,,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,1.516184,Mean,,,,"",,,,,,,,,,,,,"",1A,Yes,Yes,Yes,Yes,2,4,0,0,"","","",Cell-based,1,CRO9,1.0,"Cellular dose response curves for RAF and MEK inhibitors in BRAF(V600E), mutant RAS, and wild-type RAF/RAS cell lines",Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",Yes,Varation across multiple cell lines reported,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,,,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,FALSE,FALSE,FALSE,p8e1o5,1,p8e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,65,8,2,2,1,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with PLX4720,Positive,Positive,,42,No,"","","",,,,,contrast of between-subjects ANOVA,t,3.657943,,80,0.0004538276,Yes,0.9910164,0.7094346,Mean,0.1801376,0.345363,1.073506,Cohen's d,,,,,1.128866,0.3416514,0.4696089,1.775986,,,,,Positive,"","",,,,,contrast of between-subjects ANOVA,t,3.657943,,80,0.0004538276,0.7094346,Mean,0.1801376,0.345363,1.073506,Cohen's d,,,,,1.128866,0.3416514,0.4696089,1.775986,,,,,"",2B,Yes,Yes,Yes,Yes,3,4,0,0,Cells,Cells,Cells,Cell-based,1,Core1,2.0,MEK phosphorylation when BRAF or CRAF are depleted in non-BRAF(V600E) cells treated with a RAF inhibitor,Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",No,"",RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,TRUE,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,FALSE,p8e2o2,1,p8e2,,Cohen's d,,,1.128866,0.4696089,1.775986,,0.333265588119102,,0.111065952224371,,,,1.128866,0.4696089,1.775986,,0.333265588119102,,0.111065952224371,,,,,,,,,,,,,,,,,,,,
67,67,67,8,2,4,1,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with GDC-0879,Positive,Null-positive,,42,No,"","","",,,,,Mann-Whitney,z,0.6671679,,,0.5046649,Yes,0.3460416,0.1335532,Median,,-0.3234275,0.7075629,Cliff's delta,,,,,0.1201814,0.1714764,-0.2107559,0.4264033,,,,,Null-positive,"","",,,,,Student's t test,t,0.5990227,,40,0.5525355,0.2778109,Mean,0.4637736,-0.6595105,1.2151324,Cohen's d,,,,,0.1604268,0.3167614,-0.4464418,0.7653028,,,,,"",2B,Yes,Yes,Yes,Yes,3,4,0,0,Cells,Cells,Cells,Cell-based,1,Core1,2.0,MEK phosphorylation when BRAF or CRAF are depleted in non-BRAF(V600E) cells treated with a RAF inhibitor,Yes,Yes,"",0,"",6,"","",No,"","","","","","","","",No,"",No,"",RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,2014-08-11,25000,18805.42,25443.44,61496.12,42194,42375,https://elifesciences.org/articles/09976,42415,42997,Partial,Inefficiency of IP,43341,,Partial,Yes,Yes,"",4,"CRO9,Core1,CRO10,Core3",Replication study rejected.,FALSE,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,FALSE,p8e2o4,1,p8e2,,Cohen's d,,,0.1604268,-0.4464418,0.7653028,,0.309124200637891,,0.0955577714200151,,,,0.1604268,-0.4464418,0.7653028,,0.309124200637891,,0.0955577714200151,,,,,,,,,,,,,,,,,,,,
70,70,70,9,1,1,1,CD133 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Positive,,1,No,"","","",,,,,"","",,,,,Yes,,,"",,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,,"",,,,"",,,,,,,,,,,,,original study reported representive data from an unknown number independent experiments.,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",1.0,Yes,Cells,"","","","","","","",No,"",No,"",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,FALSE,p9e1o1,3,p9e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,73,9,1,2,1,CD24 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Positive,,1,No,"","","",,,,,"","",,,,,Yes,,,"",,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,,"",,,,"",,,,,,,,,,,,,original study reported representive data from an unknown number independent experiments.,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",1.0,Yes,Cells,"","","","","","","",No,"",No,"",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,FALSE,p9e1o2,3,p9e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,76,9,1,3,1,CD29 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Positive,,1,No,"","","",,,,,"","",,,,,Yes,,,"",,,,"",,,,,,,,,,,,,Positive,"","",,,,,"","",,,,,,"",,,,"",,,,,,,,,,,,,original study reported representive data from an unknown number independent experiments.,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",1.0,Yes,Cells,"","","","","","","",No,"",No,"",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,FALSE,p9e1o3,3,p9e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,79,9,1,4,1,CD44 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Negative,,1,No,"","","",,,,,"","",,,,,Yes,,,"",,,,"",,,,,,,,,,,,,Negative,"","",,,,,"","",,,,,,"",,,,"",,,,,,,,,,,,,original study reported representive data from an unknown number independent experiments.,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",1.0,Yes,Cells,"","","","","","","",No,"",No,"",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,FALSE,p9e1o4,3,p9e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,82,9,1,5,1,CD166 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Null,,1,No,"","","",,,,,"","",,,,,Yes,,,"",,,,"",,,,,,,,,,,,,Null,"","",,,,,"","",,,,,,"",,,,"",,,,,,,,,,,,,original study reported representive data from an unknown number independent experiments.,2F,Yes,Yes,Yes,Yes,2,3,0,0,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,2",CSC marker expression of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",1.0,Yes,Cells,"","","","","","","",No,"",No,"",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",,,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,FALSE,p9e1o5,3,p9e1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,85,9,2,1,1,Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Positive,18,18,No,"",Chi-square test,chi-squared,173.4734,,1,0.000000000000000000000000000000000000001290018,Chi-square test,chi-squared,39.7963,,1,0.0000000002818784,No,,,"",,,,Cohen's w,0.9505299,0.0727393,0.9347403,0.962573,0.4552718,0.0727393,0.335279,0.5607297,0.586604,-0.1017404,0.8951058,0.08882548,Positive,Student's t test,t,4.107667,,16,0.0008232143,Student's t test,t,3.503404,,16,0.002942318,,"",,,,Cohen's d,1.936373,0.6179156,0.7779388,3.05504,1.65152,0.5881236,0.5485481,2.717153,1.296639,0.7456893,1.847588,0.000003974687,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis",6D,Yes,Yes,Yes,Yes,3,3,0,3,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,3",Clonogenicity of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",2.0,Yes,Cells,"","","","","","","",Yes,Chi-square test,Yes,"Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,TRUE,p9e2o1,3,p9e2,1.936373,Cohen's d,0.7779388,3.05504,1.65152,0.5485481,2.717153,0.6179156,0.553225701366372,0.38181968872336,0.306058676652314,1.936373,0.7779388,3.05504,1.13013910387278,0.5485481,2.717153,0.580903837509639,0.297225692862897,0.337449268433425,0.0883431124978295,0.0198836,FALSE,0.657442236622748,3.21530376337725,TRUE,0.594559378607753,3.27818662139225,TRUE,0.216623991298336,0.238935398487947,1.71339350471495,0.467266635156594,0.80623389612722,0.425792380931255,0.980994400707688,0.9708061134768,1.29741596220771,0.0700137438305583,0.778807329607253,1.81602459480817
88,88,88,9,2,2,1,Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (450 culture),Positive,Null-positive,18,18,No,"",Chi-square test,chi-squared,114.1497,,1,0.0000000000000000000000000120834,Chi-square test,chi-squared,1.485805,,1,0.2228685,No,,,"",,,,Cohen's w,0.7710575,0.0727393,0.7066017,0.8228232,0.08796912,0.0727393,-0.0543158,0.2267527,0.339895,-0.09263975,0.66451381,0.1205454,Null-positive,Student's t test,t,3.837212,,16,0.001454008,Student's t test,t,1.098149,,16,0.2883907,,"",,,,Cohen's d,1.808879,0.6041794,0.6759369,2.903011,0.5176725,0.5093342,-0.4309751,1.450844,0.8835097,0.2151156,1.551904,0.009576489,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis",6D,Yes,Yes,Yes,Yes,3,3,0,3,Cells,Cells,Cells,Cell-based,2,"CRO11,CRO12","1,3",Clonogenicity of TOP-GFP CSC cultures,Yes,Yes,"",1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,"",2.0,Yes,Cells,"","","","","","","",Yes,Chi-square test,Yes,"Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.",Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,"",43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13","",FALSE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,FALSE,TRUE,p9e2o2,3,p9e2,1.808879,Cohen's d,0.6759369,2.903011,0.5176725,-0.4309751,1.450844,0.6041794,0.480064714158921,0.36503274738436,0.230462129780486,1.808879,0.6759369,2.903011,0.618418336120597,-0.4309751,1.450844,0.568141587694181,0.282153495448379,0.322784863667665,0.0796105949937382,0.01940505,FALSE,0.565582742432197,3.0521752575678,TRUE,0.500985471793992,3.11677252820601,TRUE,0.060562979571098,0.0744264019801204,2.92500867834432,2.62499751917699,1.1904606638794,0.402395458661403,0.976136035140559,0.963864649514838,0.853941078060454,0.0638603008519,0.358646503085408,1.3492356530355
