X.3,X.2,X.1,X,pID,eID,oID,internalID,Effect.description,origDirection,Observed.difference.in.replication.,origN,repN,testReported,What.statistical.test.was.reported.,Statistical.test.applied.to.original.data,Original.test.statistic.type,Original.test.statistic.value,Original.df1,Original.df2,Original.p.value,Replication.statistical.test,Replication.test.statistic.type,Replication.test.statistic.value,Replication.df1,Replication.df2,Replication.p.value,Was.original.data.representative.,origRawDiff,Replication.raw.difference..if.original.reported.representative.data.,Replication.raw.difference.type..mean.or.median.,Replication.raw.diference.standard.error,Replication.raw.difference.lower.CI,Replication.raw.difference.upper.CI,Effect.size.type,Original.effect.size,Original.standard.error,Original.lower.CI,Original.upper.CI,Replication.effect.size,Replication.standard.error,Replication.lower.CI,Replication.upper.CI,Meta.analysis.effect.size,Meta.analysis.lower.CI,Meta.analysis.upper.CI,Meta.analysis.p.value,repDirection,Statistical.test.applied.to.original.data..SMD.,Original.test.statistic.type..SMD.,Original.test.statistic.value..SMD.,origdf1,origdf2,origPval,Replication.statistical.test..SMD.,Replication.test.statistic.type..SMD.,Replication.test.statistic.value..SMD.,repdf1,repdf2,repPval,repRawDiff,Replication.raw.difference.type..mean.or.median...SMD.,Replication.raw.diference.standard.error..SMD.,Replication.raw.difference.lower.CI..SMD.,Replication.raw.difference.upper.CI..SMD.,EStype,origES,origSE,origESLo,origESHi,repES,repSE,repESLo,repESHi,Meta.analysis.effect.size..SMD.,Meta.analysis.lower.CI..SMD.,Meta.analysis.upper.CI..SMD.,Meta.analysis.p.value..SMD.,Notes.x,Original.paper.figure,Was.experiment.originally.identified.by.RP.CB.team,Did.experiment.continue.after.sharing.with.labs..before.submitting.protocol.to.eLife.,Did.the.experiment.protocol.get.submitted.to.eLife,Did.the.experiment.protocol.get.accepted.and.published.in.eLife,infoNeeded,infoQuality,Data.shared.by.original.authors,Code.shared.by.original.authors,Key.materials.asked.to.be.shared,materialsSharedProse,Key.materials.shared,expType,What.types.of.experimental.techniques.were.utilized.,What.category.of.experimental.techniques.were.utilized.,Number.of.lab.s..contracted.for.the.experiment,labsContracted,Registered.Report.protocol,Experiment.description,Original.sample.number..reported.,Replication.sample.number..power.,Replication.sample.number..reported.,Replication.experiment.attempted,Replication.experiment.completed,If.experiment.incomplete..why.,changesNeededRaw,If.modifications.were.needed.for.experiment.to.proceed..what.were.they.,changesSuccess,If.modifications.unable.to.be.fully.implemented..why.,Replication.study.figure,Were.materials.shippped.between.replicating.labs.,If.a.material.was.shipped.between.replicating.labs..what.was.it.,Was.the.original.experiment.blinded.,Was.the.replication.experiment.blinded.,Was.the.original.experiment.randomized.,Was.the.replication.experiment.randomized.,Was.the.original.experiment.sample.size.determined.a.priori.,Was.the.replication.experiment.sample.size.determined.a.priori.,Was.a.statistical.test.reported.in.the.original.paper..y,What.statistical.test.s..was.reported.,Was.variation.of.biological.repeats.reported.in.the.original.experiment.,Notes.y,Original.paper.title,Year,Original.paper.journal,Number.of.original.authors,OSF.project.link,Draft.protocol.shared.with.original.authors.date,Budget.per.paper.at.project.onset.when.originally.identified.by.RP.CB.team,Anticipated.budget.when.Registered.Report.manuscript.ready.for.submission.to.eLife,Anticipated.budget.when.Registered.Report.accepted.and.published.in.eLife,Actual.budget.at.completion.of.replication.attempt,Registered.Report.submission.date,Registered.Report.acceptance.date,Link.to.Registered.Report,Experimental.work.start.date,Experimental.work.end.date,Replication.study.fully.completed,If.Replication.study.incomplete..why.,Replication.study.submission.date,Replication.study.acceptance.date,Link.to.Replication.study,Did.original.authors.respond.to.any.emails.,Did.the.original.paper.have.a.potential.conflict.of.issue.statement.,Did.the.replication.study.have.a.potential.conflict.of.issue.statement.,Number.of.lab.s..contracted.for.the.entire.paper,Contracted.lab.s..for.the.entire.paper,Notes,repSignif,origSignif,changes,changes_a..GTE.moderate.success,changes_b..LT.moderate.success,changes_c..No.changes.needed,materialsShared,materialsShared_a.No,materialsShared_b.Yes,materialsShared_c..Not.requested,hasCROLab,hasCoreLab,expAnimal,quantPair,peoID,nInternal,peID,origES2,ES2type,origESLo2,origESHi2,repES2,repESLo2,repESHi2,origSE2,repSE2,origVar2,repVar2,origES3,origESLo3,origESHi3,repES3,repESLo3,repESHi3,origSE3,repSE3,origVar3,repVar3,discrep,badCI
104,104,104,104,9,3,2,1,Tumorigenicity frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture),Positive,Null-positive,8,8,No,,Chi-square test,chi-squared,25.99691,,1,3.419643e-07,Chi-square test,chi-squared,3.316521,,1,0.06858681,No,,,,,,,Cohen's w,0.7359363,0.1490712,0.5712537,0.8436579,0.3219337,0.1856953,-0.03014416,0.60294343,0.6065104,0.4426657,0.7311639,1.441955e-09,Null-positive,Student's t test,t,1.594092,,6,0.162025,Student's t test,t,1.158437,,6,0.2907067,,,,,,Cohen's d,1.127193,0.8987995,-0.4301383,2.609106,0.8191387,0.8609419,-0.6688381,2.247284,0.9665418,-0.252028,2.185112,0.1200417,effect size recalculated for meta-analysis,7E,Yes,Yes,Yes,Yes,3,3,3,0,Cells,Cells,Cells,Animal,"viral transduction,cell culture,cell isolation,FACS,animal care,animal injection (cells, SC,IP)","cell,immuno,animal",3,"CRO11,CRO12,CRO13","1,4",Tumorigenicity of TOP-GFP CSC culture,66.0,48,48,Yes,Yes,,0,,6,,Table1,Yes,Cells,,,,,,,No,,Yes,,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,2014-09-17,25000,25500,70500,126870,42066,42217,https://elifesciences.org/articles/07301,42251,43271,Yes,,43488,43623,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13",,FALSE,FALSE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,TRUE,FALSE,TRUE,TRUE,p9e3o2,1,p9e3,1.127193,Cohen's d,-0.4301383,2.609106,0.8191387,-0.6688381,2.247284,0.8987995,0.743922368727691,0.80784054120025,0.553420490693418,1.127193,-0.4301383,2.609106,0.8191387,-0.6688381,2.247284,0.775331670370775,0.743922368727691,0.601139199079936,0.553420490693418,0.03770915,FALSE
131,131,131,131,15,1,1,1,DOX accumulation in prostate tumor tissue of DOX+PBS vs DOX+iRGD,Positive,Null-negative,6,8,Yes,Student's t test,Welch's t test,t,5.325191,,2.797413,0.0154218,Student's t test,t,-0.3523984,,6,0.7365876,No,,,,,,,Glass' delta,7.409639,3.793725,0.8898267,14.37962,-0.3177959,0.7189105,-1.700543,1.113274,-0.04992154,-1.434322,1.334479,0.9436553,Null-negative,Welch's t test,t,5.325191,,2.797413,0.0154218,Student's t test,t,-0.3523984,,6,0.7365876,,,,,,Glass' delta,7.409639,3.793725,0.8898267,14.37962,-0.3177959,0.7189105,-1.700543,1.113274,-0.04992154,-1.434322,1.334479,0.9436553,"original study data has SD1/SD2 larger than 2, so assumed unequal variance",2B,Yes,Yes,Yes,Yes,4,1,0,0,,,,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting,organic extraction/absorption assay","cell,animal,molecular",2,"Core4,CRO14","1,2,3",Tissue specific DOX accumulation,6.0,8,8,Yes,Yes,,0,,6,,1.0,Yes,Peptide,,,,,,,Yes,Student's t test,Yes,,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,2010,Science,7,https://osf.io/xu1g2/,2014-06-09,25000,38813.16,39313.16,43516.84,42046,42123,https://elifesciences.org/articles/06959,42124,42242,Yes,,42496,42612,https://elifesciences.org/articles/17584,Yes,Yes,Yes,2,"Core4,CRO14",A statement in the acknowledgment section was identified as a COI statement.,FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,TRUE,TRUE,TRUE,p15e1o1,1,p15e1,7.409639,Glass' delta,0.8898267,14.37962,-0.3177959,-1.700543,1.113274,3.793725,0.71782364936168,14.392349375625,0.51527079158292,7.409639,0.8898267,14.37962,-0.3177959,-1.700543,1.113274,3.44133703639602,0.71782364936168,11.8428005980709,0.51527079158292,0.225084349999999,FALSE
132,132,132,132,15,2,1,1,Tumor weight of DOX+PBS vs DOX+iRGD,Positive,Null-positive,20,14,Yes,contrast of between-subjects ANOVA,Welch's t test,t,4.986744,,9.7691020171,0.0005879201,Welch's t test,t,0.2272624,,8.008426,0.825914,No,,,,,,,Glass' delta,1.610345,0.5865725,0.4425053,2.72709,0.2240333,0.5384207,-0.8398834,1.270007,0.8579609,0.08053472,1.63538714,0.03054122,Null-positive,Welch's t test,t,4.986744,,9.7691020171,0.0005879201,Welch's t test,t,0.2272624,,8.008426,0.825914,,,,,,Glass' delta,1.610345,0.5865725,0.4425053,2.72709,0.2240333,0.5384207,-0.8398834,1.270007,0.8579609,0.08053472,1.63538714,0.03054122,"original study data has SD1/SD2 larger than 2, so assumed unequal variance","2C,S9A",Yes,Yes,Yes,Yes,4,1,0,0,,,,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting","cell,animal,molecular",2,"Core4,CRO14","1,2,4",Tumor and body weight following treatment,30.0,21,21,Yes,Yes,,0,,6,,"2,3",Yes,Peptide,,,,,,,Yes,between-subjects ANOVA; contrast of between-subjects ANOVA,Yes,,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,2010,Science,7,https://osf.io/xu1g2/,2014-06-09,25000,38813.16,39313.16,43516.84,42046,42123,https://elifesciences.org/articles/06959,42124,42242,Yes,,42496,42612,https://elifesciences.org/articles/17584,Yes,Yes,Yes,2,"Core4,CRO14",A statement in the acknowledgment section was identified as a COI statement.,FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,TRUE,TRUE,TRUE,p15e2o1,1,p15e2,1.610345,Glass' delta,0.4425053,2.72709,0.2240333,-0.8398834,1.270007,0.5865725,0.538247237358071,0.34406729775625,0.289710088523595,1.610345,0.4425053,2.72709,0.2240333,-0.8398834,1.270007,0.582812928712087,0.53824723735807,0.33967090987396,0.289710088523595,0.0255473499999996,FALSE
134,134,134,134,15,3,1,1,Prostate tumor apoptotic index of DOX+PBS vs DOX+iRGD,Positive,Null-positive,20,12,Yes,contrast of between-subjects ANOVA,contrast of between-subjects ANOVA,t,5.138861,,27,2.097435e-05,contrast of between-subjects ANOVA,t,0.4351507,,15,0.669649,No,,,,,,,Cohen's d,2.298168,0.6206721,1.129156,3.429967,0.2512344,0.6354425,-0.8916921,1.3818889,1.298767,0.428521,2.169014,0.003443717,Null-positive,contrast of between-subjects ANOVA,t,5.138861,,27,2.097435e-05,contrast of between-subjects ANOVA,t,0.4351507,,15,0.669649,,,,,,Cohen's d,2.298168,0.6206721,1.129156,3.429967,0.2512344,0.6354425,-0.8916921,1.3818889,1.298767,0.428521,2.169014,0.003443717,,2D,Yes,Yes,Yes,Yes,4,1,0,0,,,,Animal,"peptide synthesis,cell culture,animal care,animal injection (cells, drug, prostate gland, iv),tissue harvesting,immunohistochemistry","cell,animal,molecular",2,"Core4,CRO14","1,2,5",TUNEL staining of mouse tissues,30.0,18,18,Yes,Yes,,0,,6,,4.0,Yes,Peptide,,,,,,,Yes,contrast of between-subjects ANOVA,Yes,,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,2010,Science,7,https://osf.io/xu1g2/,2014-06-09,25000,38813.16,39313.16,43516.84,42046,42123,https://elifesciences.org/articles/06959,42124,42242,Yes,,42496,42612,https://elifesciences.org/articles/17584,Yes,Yes,Yes,2,"Core4,CRO14",A statement in the acknowledgment section was identified as a COI statement.,FALSE,TRUE,a. GTE moderate success,1,0,0,c. Not requested,0,0,1,TRUE,TRUE,TRUE,TRUE,p15e3o1,1,p15e3,2.298168,Cohen's d,1.129156,3.429967,0.2512344,-0.8916921,1.3818889,0.6206721,0.580005810804106,0.38523385571841,0.336406740566528,2.298168,1.129156,3.429967,0.2512344,-0.8916921,1.3818889,0.586952367020135,0.580005810804106,0.344513081150539,0.336406740566528,0.0186065000000002,FALSE
141,141,141,141,16,3,1,1,2HG levels of R132C mutant IDH1 vs largest value observed in WT IDH,Positive,Positive,5,4,No,,one-sample t test,t,18.79246,,4,4.721315e-05,one-sample t test,t,4.468997,,3,0.02087446,No,,,,,,,Cohen's d,8.404241,2.695019,2.83925,14.08517,2.234498,0.9349454,0.2632168,4.1670553,2.897267,1.166027,4.628507,0.00103792,Positive,one-sample t test,t,18.79246,,4,4.721315e-05,one-sample t test,t,4.468997,,3,0.02087446,,,,,,Cohen's d,8.404241,2.695019,2.83925,14.08517,2.234498,0.9349454,0.2632168,4.1670553,2.897267,1.166027,4.628507,0.00103792,original data Estimated from figure 5C log transformed to match replication data,5.0,Yes,Yes,Yes,Yes,1,0,0,0,Plasmids,No,No,Patient Samples,"cell isolation,metabolite extraction,GC-MS","cell,molecular",2,"Core5,Core6",3.0,2HG levels in AML patient samples,27.0,12,12,Yes,Yes,,1,GC-MS conditions needed to be optimized from limited information in original paper,5,,3.0,Yes,Patient samples,,,,,,,No,,Yes,,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,2010,Cancer Cell,16,https://osf.io/8l4ea/,2015-02-13,25000,33994,33994,33994,42307,42413,https://elifesciences.org/articles/12626,42413,42773,Yes,,42781,42877,https://elifesciences.org/articles/26030,No,Yes,Yes,2,"Core5,Core6",A statement in the acknowledgment section was identified as a COI statement.,TRUE,TRUE,a. GTE moderate success,1,0,0,a.No,1,0,0,FALSE,TRUE,FALSE,TRUE,p16e3o1,1,p16e3,8.404241,Cohen's d,2.83925,14.08517,2.234498,0.2632168,4.1670553,2.695019,0.995895468180278,7.263127410361,0.991807783542015,8.404241,2.83925,14.08517,2.234498,0.2632168,4.1670553,2.86890985974905,0.995895468180278,8.23064378336533,0.991807783542015,0.0579689999999982,FALSE
142,142,142,142,16,3,2,1,2HG levels of R172K mutant IDH2 vs largest value observed in WT IDH,Positive,Positive,9,4,No,,one-sample t test,t,20.23687,,8,3.713804e-08,one-sample t test,t,9.190985,,3,0.002723826,No,,,,,,,Cohen's d,6.745624,1.624525,3.446096,10.044942,4.595493,1.699947,1.053507,8.224204,5.719313,3.417392,8.021234,1.117717e-06,Positive,one-sample t test,t,20.23687,,8,3.713804e-08,one-sample t test,t,9.190985,,3,0.002723826,,,,,,Cohen's d,6.745624,1.624525,3.446096,10.044942,4.595493,1.699947,1.053507,8.224204,5.719313,3.417392,8.021234,1.117717e-06,original data Estimated from figure 5C log transformed to match replication data,5.0,Yes,Yes,Yes,Yes,1,0,0,0,Plasmids,No,No,Patient Samples,"cell isolation,metabolite extraction,GC-MS","cell,molecular",2,"Core5,Core6",3.0,2HG levels in AML patient samples,27.0,12,12,Yes,Yes,,1,GC-MS conditions needed to be optimized from limited information in original paper,5,,3.0,Yes,Patient samples,,,,,,,No,,Yes,,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,2010,Cancer Cell,16,https://osf.io/8l4ea/,2015-02-13,25000,33994,33994,33994,42307,42413,https://elifesciences.org/articles/12626,42413,42773,Yes,,42781,42877,https://elifesciences.org/articles/26030,No,Yes,Yes,2,"Core5,Core6",A statement in the acknowledgment section was identified as a COI statement.,TRUE,TRUE,a. GTE moderate success,1,0,0,a.No,1,0,0,FALSE,TRUE,FALSE,TRUE,p16e3o2,1,p16e3,6.745624,Cohen's d,3.446096,10.044942,4.595493,1.053507,8.224204,1.624525,1.82929305246462,2.639081475625,3.34631307179534,6.745624,3.446096,10.044942,4.595493,1.053507,8.224204,1.68341001468671,1.82929305246462,2.83386927754752,3.34631307179534,0.000104999999999578,FALSE
143,143,143,143,16,3,3,1,2HG levels of R132C mutant IDH1 or R172K mutant IDH2 vs largest value observed in WT IDH,Positive,Positive,14,8,No,,one-sample t test,t,16.31795,,13,4.863977e-10,one-sample t test,t,8.72953,,7,5.199887e-05,No,,,,,,,Cohen's d,4.361155,0.8664309,2.617673,6.089983,3.086355,0.8487339,1.349622,4.797836,3.710603,2.522266,4.89894,9.356251e-10,Positive,one-sample t test,t,16.31795,,13,4.863977e-10,one-sample t test,t,8.72953,,7,5.199887e-05,,,,,,Cohen's d,4.361155,0.8664309,2.617673,6.089983,3.086355,0.8487339,1.349622,4.797836,3.710603,2.522266,4.89894,9.356251e-10,original data Estimated from figure 5C log transformed to match replication data,5.0,Yes,Yes,Yes,Yes,1,0,0,0,Plasmids,No,No,Patient Samples,"cell isolation,metabolite extraction,GC-MS","cell,molecular",2,"Core5,Core6",3.0,2HG levels in AML patient samples,27.0,12,12,Yes,Yes,,1,GC-MS conditions needed to be optimized from limited information in original paper,5,,3.0,Yes,Patient samples,,,,,,,No,,Yes,,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,2010,Cancer Cell,16,https://osf.io/8l4ea/,2015-02-13,25000,33994,33994,33994,42307,42413,https://elifesciences.org/articles/12626,42413,42773,Yes,,42781,42877,https://elifesciences.org/articles/26030,No,Yes,Yes,2,"Core5,Core6",A statement in the acknowledgment section was identified as a COI statement.,TRUE,TRUE,a. GTE moderate success,1,0,0,a.No,1,0,0,FALSE,TRUE,FALSE,TRUE,p16e3o3,1,p16e3,4.361155,Cohen's d,2.617673,6.089983,3.086355,1.349622,4.797836,0.8664309,0.879662592577995,0.75070250447481,0.773806276781039,4.361155,2.617673,6.089983,3.086355,1.349622,4.797836,0.885809644307023,0.879662592577995,0.784658725947334,0.773806276781039,0.00732700000000008,FALSE
150,150,150,150,19,1,1,1,Relative MYC expression of MM.1S cells harvested 1 hr after (+)-JQ1 treatment vs cells 0 hr after (+)-JQ1 treatment,Positive,Positive,2,5,Yes,paired t test,paired t test,t,3.511476,,1,0.1766213,paired t test,t,38.92091,,4,2.603218e-06,No,,,,,,,Cohen's dz,2.482988,1.428743,-0.5946068,5.7866542,17.40596,5.522385,6.015823,28.411386,3.419196,0.7081727,6.1302201,0.01343801,Positive,paired t test,t,3.511476,,1,0.1766213,paired t test,t,38.92091,,4,2.603218e-06,,,,,,Cohen's dz,2.482988,1.428743,-0.5946068,5.7866542,17.40596,5.522385,6.015823,28.411386,3.419196,0.7081727,6.1302201,0.01343801,original study listed a sample size of 6 (2 biological repeats with 3 technical replicates each). These calculations use a sample size of 2.,3B,Yes,Yes,Yes,Yes,2,1,0,0,Cells,Cells,Cells,Cell-based,"cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core4,1.0,MYC expression in JQ1-treated MM.1S-luc cells,2.0,5,5,Yes,Yes,,0,,6,,1.0,No,,,,,,,,Yes,paired t test,Yes,,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,2011,Cell,24,https://osf.io/7zqxp/,2014-08-20,25000,37818,39843,39156.76,42052,42163,https://elifesciences.org/articles/07072,42163,42444,Yes,,42618,42696,https://elifesciences.org/articles/21253,Yes,No,Yes,1,Core4,,TRUE,FALSE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p19e1o1,1,p19e1,2.482988,Cohen's dz,-0.5946068,5.7866542,17.40596,6.015823,28.411386,1.428743,5.71325880900194,2.041306560049,32.6413262186382,2.482988,-0.5946068,5.7866542,17.40596,6.015823,28.411386,1.62790261717424,5.71325880900193,2.65006693100273,32.6413262186382,0.1130357,FALSE
151,151,151,151,19,1,2,1,Relative MYC expression of MM.1S cells harvested 8 hr after (+)-JQ1 treatment vs cells 0 hr after (+)-JQ1 treatment,Positive,Positive,2,5,Yes,paired t test,paired t test,t,3.411066,,1,0.1815468,paired t test,t,25.09801,,4,1.496275e-05,No,,,,,,,Cohen's dz,2.411988,1.398006,-0.605721,5.633767,11.224173,3.577458,3.841858,18.349709,3.579422,1.027326,6.131518,0.005978983,Positive,paired t test,t,3.411066,,1,0.1815468,paired t test,t,25.09801,,4,1.496275e-05,,,,,,Cohen's dz,2.411988,1.398006,-0.605721,5.633767,11.224173,3.577458,3.841858,18.349709,3.579422,1.027326,6.131518,0.005978983,original study listed a sample size of 6 (2 biological repeats with 3 technical replicates each). These calculations use a sample size of 2.,3B,Yes,Yes,Yes,Yes,2,1,0,0,Cells,Cells,Cells,Cell-based,"cell culture,RNA extraction,qRT-PCR","cell,molecular",1,Core4,1.0,MYC expression in JQ1-treated MM.1S-luc cells,2.0,5,5,Yes,Yes,,0,,6,,1.0,No,,,,,,,,Yes,paired t test,Yes,,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,2011,Cell,24,https://osf.io/7zqxp/,2014-08-20,25000,37818,39843,39156.76,42052,42163,https://elifesciences.org/articles/07072,42163,42444,Yes,,42618,42696,https://elifesciences.org/articles/21253,Yes,No,Yes,1,Core4,,TRUE,FALSE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,FALSE,TRUE,p19e1o2,1,p19e1,2.411988,Cohen's dz,-0.605721,5.633767,11.224173,3.841858,18.349709,1.398006,3.7010504056289,1.954420776036,13.6977741050058,2.411988,-0.605721,5.633767,11.224173,3.841858,18.349709,1.59173537095995,3.70105040562889,2.533621491165,13.6977741050058,0.102035,FALSE
152,152,152,152,19,2,1,1,Overall survival of (+)-JQ1 vs vehicle control,Positive,Positive,19,24,Yes,Log-rank Mantel-Cox test,Log-rank Mantel-Cox test,chi-squared,16.87163,,1,3.999499e-05,Log-rank Mantel-Cox test,chi-squared,5.12079,,1,0.02364086,No,,,,,,,Hazard ratio,25.92992,1.592021,5.484926,122.583391,3.754594,2.925704,1.193745,11.809033,7.418326,2.950078,18.654268,2.049847e-05,Positive,Log-rank Mantel-Cox test,chi-squared,16.87163,,1,3.999499e-05,Log-rank Mantel-Cox test,chi-squared,5.12079,,1,0.02364086,,,,,,Hazard ratio,25.92992,1.592021,5.484926,122.583391,3.754594,2.925704,1.193745,11.809033,7.418326,2.950078,18.654268,2.049847e-05,,"7C,7D,7E",Yes,Yes,Yes,Yes,3,1,2,2,Cells,Cells,Cells,Animal,"cell culture,animal care,animal injection (cells, drug,luciferin,iv,IP),IVIS","cell,animal",1,Core4,2.0,Overall survival and tumor burden in JQ1-treated MM.1S-luc orthotopic xenograft model,19.0,22,24,Yes,Yes,,5,Timecourse of cell injection to randomization was extended because detection of bioluminescence in vivo was not detected even though disease progression was observed; Enrichment of luciferase expressing cells was performed before experiment was conducted to determine timecourse to observe bioluminescence before disease progression required euthanasia,5,,"2,3",No,,,,,,,,Yes,Log-rank Mantel-Cox test; Student's t test,Yes,Statistical test of original listed in methods.,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,2011,Cell,24,https://osf.io/7zqxp/,2014-08-20,25000,37818,39843,39156.76,42052,42163,https://elifesciences.org/articles/07072,42163,42444,Yes,,42618,42696,https://elifesciences.org/articles/21253,Yes,No,Yes,1,Core4,,TRUE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,TRUE,TRUE,p19e2o1,1,p19e2,3.25539751431635,Log hazard ratio,1.70200360229617,4.80879154124161,1.32298015686711,0.177095424322356,2.46886474709403,0.792562507130587,0.584645774322604,0.628155327709122,0.341810681433277,0.560079972206537,0.314851035321731,0.772296893906911,0.247830780338513,0.0338264848981532,0.441941036610895,0.116697516432306,0.104112768125307,0.0136183103414682,0.0108394684867139,0.0165060075922162,FALSE
153,153,153,153,19,2,2,1,Bioluminescence (tumor burden) of (+)-JQ1 vs vehicle control,Positive,Null-positive,19,18,Yes,Student's t test,Student's t test,t,5.000418,,17,0.0001094824,Student's t test,t,1.15363,,16,0.2655945,No,,,,,,,Cohen's d,2.297534,0.6398966,1.09556,3.460222,0.557773,0.523378,-0.417364,1.516296,1.255122,0.4610895,2.0491548,0.001947642,Null-positive,Student's t test,t,5.000418,,17,0.0001094824,Student's t test,t,1.15363,,16,0.2655945,,,,,,Cohen's d,2.297534,0.6398966,1.09556,3.460222,0.557773,0.523378,-0.417364,1.516296,1.255122,0.4610895,2.0491548,0.001947642,,"7C,7D,7E",Yes,Yes,Yes,Yes,3,1,2,2,Cells,Cells,Cells,Animal,"cell culture,animal care,animal injection (cells, drug,luciferin,iv,IP),IVIS","cell,animal",1,Core4,2.0,Overall survival and tumor burden in JQ1-treated MM.1S-luc orthotopic xenograft model,19.0,22,24,Yes,Yes,,5,Timecourse of cell injection to randomization was extended because detection of bioluminescence in vivo was not detected even though disease progression was observed; Enrichment of luciferase expressing cells was performed before experiment was conducted to determine timecourse to observe bioluminescence before disease progression required euthanasia,5,,"2,3",No,,,,,,,,Yes,Log-rank Mantel-Cox test; Student's t test,Yes,Statistical test of original listed in methods.,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,2011,Cell,24,https://osf.io/7zqxp/,2014-08-20,25000,37818,39843,39156.76,42052,42163,https://elifesciences.org/articles/07072,42163,42444,Yes,,42618,42696,https://elifesciences.org/articles/21253,Yes,No,Yes,1,Core4,,FALSE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,TRUE,TRUE,p19e2o2,1,p19e2,2.297534,Cohen's d,1.09556,3.460222,0.557773,-0.417364,1.516296,0.6398966,0.493289676558463,0.40946765869156,0.243334704999153,2.297534,1.09556,3.460222,0.557773,-0.417364,1.516296,0.603241186739183,0.493289676558463,0.363899929378498,0.243334704999153,0.0196430000000003,FALSE
155,155,155,155,20,1,2,1,Total metastatic foci per mouse of LM-4175 vs LM-4175 + Cav1 WT,Positive,Null-positive,18,36,Yes,unknown,Mann-Whitney,z,3.006397,,,0.001023486,Mann-Whitney,z,0.998848,,,0.327788,No,,,,,,,Cliff's delta,0.8888889,0.1111111,0.469068,0.9810331,0.2076923,0.1416304,-0.07528094,0.45970759,0.629365,0.4303428,0.7700337,6.049812e-13,Null-positive,Student's t test,t,2.806311,,16,0.01267524,Student's t test,t,-1.52892,,34,0.1355357,,,,,,Cohen's d,2.563103,0.7156877,1.223514,3.858346,0.2914964,0.3846159,-0.4431904,1.021949,0.8005373,0.1365169,1.464558,0.01813179,"methods state unpaired Student's t-test or Mann-Whitney test was used; p value reported in Replication Study was not exact, which is used here","7Ca,7Cb,7Cc(left),S2A,S7Ca",Yes,Yes,Yes,Yes,3,5,2,2,Cells,Cells,Cells,Animal,"viral transduction,cell culture,cell isolation,Western blot assay,animal care,animal injection (cells, luciferin,SC,IP),IVIS,tissue harvesting","cell,immuno,animal",1,Core7,"1,2,3",Primary tumor growth and metastatic foci from mice injected with Cav1 WT or Cav1 KO pMEFs,34.0,61,61,Yes,Yes,,3,"Western blot to assess SMA levels resulted in no observable change, which lead to addition of new assay (collagen gel contraction assay) to assess ECM remodeling capabilities in vitro",5,,"1,2",No,,,,,,,,Yes,Student's t test; Mann-Whitney,Yes,Methods state unpaired Student's t-test or Mann-Whitney test was used,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis.,2011,Cell,17,https://osf.io/7yqmp/,2014-05-14,25000,31211.1,54295.8,70474.11,41899,42181,https://elifesciences.org/articles/04796,42181,43217,Partial,SMA staining could not be reliably detected,43479,43775,https://elifesciences.org/articles/45120,Yes,No,Yes,3,"Core7,Core8,CRO15",,FALSE,TRUE,a. GTE moderate success,1,0,0,b.Yes,0,1,0,FALSE,TRUE,TRUE,TRUE,p20e1o2,1,p20e1,2.563103,Cohen's d,1.223514,3.858346,0.2914964,-0.4431904,1.021949,0.7156877,0.373766919075257,0.51220888393129,0.13970170979501,2.563103,1.223514,3.858346,0.2914964,-0.4431904,1.021949,0.67216337156785,0.373766919075257,0.45180359807746,0.13970170979501,0.022173,FALSE
